cruise	type	stn_&_depth	Station	Depth_m	WaterMass	Date_utc_YYYYMMDD	Year	Month	Day	hh	mm	ss	Vir_abundance	Vir_SE	VLA	Bact_abundance	Bact_SE	BLA	VBR	   temp	sal_avg	O2_mL_L	  lat_start	long_start
KN210-04	B	35	3	5	Surface	20130331	2013	3	31	12	0	0	9.51E+06	6.60E+05	6.98	6.44E+05	4.48E+04	5.81	1.48E+01	21.2373	35.82945	5.2286	-34.5	-42.5
KN210-04	B	392	3	92	DCM	20130331	2013	3	31	12	0	0	1.24E+07	9.93E+05	7.09	2.59E+06	1.94E+05	6.41	4.77E+00	17.6073	35.8846	5.3559	-34.5	-42.5
KN210-04	B	3250	3	250	Mesopelagic	20130331	2013	3	31	12	0	0	2.38E+06	2.15E+05	6.38	1.51E+05	8.04E+03	5.18	1.57E+01	14.8087	35.56925	5.0583	-34.5	-42.5
KN210-04	B	3250	3	250	Mesopelagic	20130331	2013	3	31	12	0	0	2.42E+06	1.61E+05	6.38	1.56E+05	1.00E+04	5.19	1.55E+01	14.8087	35.56925	5.0583	-34.5	-42.5
KN210-04	B	32500	3	2500	NADW	20130331	2013	3	31	12	0	0	9.42E+05	5.15E+04	5.97	2.13E+04	1.61E+03	4.33	4.43E+01	3.2066	34.91725	5.6252	-34.5	-42.5
KN210-04	B	492	4	92	DCM	20130401	2013	4	1	12	0	0	2.56E+07	1.22E+06	7.41	1.22E+06	7.51E+04	6.09	2.10E+01	19.5476	36.06285	5.4697	-31.25	-41
KN210-04	B	4250	4	250	Mesopelagic	20130401	2013	4	1	12	0	0	8.35E+06	3.76E+05	6.92	5.24E+05	4.84E+04	5.72	1.59E+01	15.9098	35.73145	4.9999	-31.25	-41
KN210-04	B	4250	4	250	Mesopelagic	20130401	2013	4	1	12	0	0	9.43E+06	5.87E+05	6.97	6.61E+05	4.37E+04	5.82	1.43E+01	15.9098	35.73145	4.9999	-31.25	-41
KN210-04	B	4850	4	850	AAIW	20130401	2013	4	1	12	0	0	1.07E+06	1.35E+05	6.03	7.60E+04	3.45E+03	4.88	1.41E+01	5.3634	34.31565	5.3762	-31.25	-41
KN210-04	B	4850	4	850	AAIW	20130401	2013	4	1	12	0	0	2.13E+06	1.07E+05	6.33	9.39E+04	1.09E+04	4.97	2.27E+01	5.3634	34.31565	5.3762	-31.25	-41
KN210-04	B	43781	4	3781	AABW	20130401	2013	4	1	12	0	0	7.84E+05	4.45E+04	5.89	2.72E+04	2.92E+03	4.43	2.88E+01	1.034	34.74315	5.1481	-31.25	-41
KN210-04	B	43781	4	3781	AABW	20130401	2013	4	1	12	0	0	8.54E+05	9.18E+04	5.93	2.88E+04	4.16E+03	4.46	2.97E+01	1.034	34.74315	5.1481	-31.25	-41
KN210-04	B	55	5	5	Surface	20130402	2013	4	2	12	0	0	9.24E+06	7.04E+05	6.97	8.07E+05	4.77E+04	5.91	1.15E+01	24.8716	36.64445	4.9301	-28.24	-38.49
KN210-04	B	55	5	5	Surface	20130402	2013	4	2	12	0	0	8.11E+06	4.30E+05	6.91	6.84E+05	5.20E+04	5.83	1.19E+01	24.8716	36.64445	4.9301	-28.24	-38.49
KN210-04	B	575	5	75	DCM	20130402	2013	4	2	12	0	0	1.19E+07	5.19E+05	7.07	5.12E+05	3.65E+04	5.71	2.32E+01	23.258	36.71365	5.384	-28.24	-38.49
KN210-04	B	575	5	75	DCM	20130402	2013	4	2	12	0	0	9.31E+06	5.77E+05	6.97	4.34E+05	2.07E+04	5.64	2.15E+01	23.258	36.71365	5.384	-28.24	-38.49
KN210-04	B	5250	5	250	Mesopelagic	20130402	2013	4	2	12	0	0	1.11E+06	5.44E+04	6.05	9.03E+04	7.29E+03	4.96	1.23E+01	16.0149	35.6509	4.9279	-28.24	-38.49
KN210-04	B	52500	5	2500	NADW	20130402	2013	4	2	12	0	0	7.86E+05	3.80E+04	5.9	2.16E+04	9.32E+02	4.33	3.64E+01	3.1067	34.93	5.784	-28.24	-38.53
KN210-04	B	54345	5	4345	AABW	20130402	2013	4	2	12	0	0	8.30E+05	6.71E+04	5.92	3.08E+04	1.98E+03	4.49	2.70E+01	0.3463	34.6817	5.0936	-28.24	-38.53
KN210-04	B	54345	5	4345	AABW	20130402	2013	4	2	12	0	0	8.01E+05	1.40E+05	5.9	2.29E+04	3.23E+03	4.36	3.50E+01	0.3463	34.6817	5.0936	-28.24	-38.53
KN210-04	B	65	6	5	Surface	20130404	2013	4	4	12	0	0	5.75E+06	2.70E+05	6.76	1.15E+06	6.24E+04	6.06	5.00E+00	26.1921	36.7489	4.793	-24.99	-36
KN210-04	B	65	6	5	Surface	20130404	2013	4	4	12	0	0	1.27E+07	8.18E+05	7.1	6.00E+05	3.46E+04	5.78	2.12E+01	26.1921	36.7489	4.793	-24.99	-36
KN210-04	B	6102	6	102	DCM	20130404	2013	4	4	12	0	0	1.28E+07	5.45E+05	7.11	4.04E+05	2.93E+04	5.61	3.18E+01	21.1238	36.5423	5.1373	-24.99	-36
KN210-04	B	6102	6	102	DCM	20130404	2013	4	4	12	0	0	1.65E+07	9.21E+05	7.22	4.25E+05	4.28E+04	5.63	3.87E+01	21.1238	36.5423	5.1373	-24.99	-36
KN210-04	B	6250	6	250	Mesopelagic	20130404	2013	4	4	12	0	0	3.60E+06	1.66E+05	6.56	9.39E+04	8.17E+03	4.97	3.84E+01	15.615	35.5863	4.8981	-24.99	-36
KN210-04	B	6800	6	800	AAIW	20130404	2013	4	4	12	0	0	2.88E+06	1.25E+05	6.46	5.10E+04	4.94E+03	4.71	5.64E+01	5.0345	34.3412	5.0054	-24.99	-36
KN210-04	B	6800	6	800	AAIW	20130404	2013	4	4	12	0	0	2.83E+06	1.28E+05	6.45	3.87E+04	2.70E+03	4.59	7.31E+01	5.0345	34.3412	5.0054	-24.99	-36
KN210-04	B	64155	6	4155	AABW	20130404	2013	4	4	12	0	0	1.01E+06	6.72E+04	6	3.09E+04	2.35E+03	4.49	3.25E+01	0.5997	34.70525	5.0482	-24.99	-36
KN210-04	B	75	7	5	Surface	20130406	2013	4	6	12	0	0	1.20E+07	4.89E+05	7.08	6.90E+05	3.06E+04	5.84	1.74E+01	27.3992	37.22835	4.7459	-22.49	-33.01
KN210-04	B	75	7	5	Surface	20130406	2013	4	6	12	0	0	1.33E+07	8.77E+05	7.12	7.67E+05	3.27E+04	5.88	1.73E+01	27.3992	37.22835	4.7459	-22.49	-33.01
KN210-04	B	7102	7	102	DCM	20130406	2013	4	6	12	0	0	1.77E+07	9.13E+05	7.25	3.86E+05	2.53E+04	5.59	4.58E+01	22.6898	36.865	5.1967	-22.49	-33.01
KN210-04	B	7102	7	102	DCM	20130406	2013	4	6	12	0	0	1.85E+07	2.31E+06	7.27	3.61E+05	1.91E+04	5.56	5.13E+01	22.6898	36.865	5.1967	-22.49	-33.01
KN210-04	B	7750	7	750	AAIW	20130406	2013	4	6	12	0	0	1.15E+06	4.73E+04	6.06	3.91E+04	3.24E+03	4.59	2.94E+01	5.117	34.3623	4.8531	-22.49	-33.01
KN210-04	B	7750	7	750	AAIW	20130406	2013	4	6	12	0	0	2.08E+06	1.24E+05	6.32	7.28E+04	6.32E+03	4.86	2.86E+01	5.117	34.3623	4.8531	-22.49	-33.01
KN210-04	B	72500	7	2500	NADW	20130407	2013	4	7	12	0	0	5.76E+05	3.99E+04	5.76	1.46E+04	1.11E+03	4.17	3.93E+01	3.0224	34.93565	5.8054	-22.49	-33.01
KN210-04	B	72500	7	2500	NADW	20130407	2013	4	7	12	0	0	7.18E+05	3.89E+04	5.86	1.57E+04	9.53E+02	4.2	4.58E+01	3.0224	34.93565	5.8054	-22.49	-33.01
KN210-04	B	74513	7	4513	AABW	20130407	2013	4	7	12	0	0	7.30E+05	3.77E+04	5.86	2.46E+04	8.83E+02	4.39	2.97E+01	0.7458	34.716	5.1174	-22.49	-33.01
KN210-04	B	85	8	5	Surface	20130410	2013	4	10	12	0	0	1.50E+07	8.60E+05	7.18	3.55E+06	2.00E+05	6.55	4.24E+00	27.7877	37.46525	4.7034	-17	-29
KN210-04	B	85	8	5	Surface	20130410	2013	4	10	12	0	0	1.28E+07	8.22E+05	7.11	3.66E+06	4.69E+05	6.56	3.49E+00	27.7877	37.46525	4.7034	-17	-29
KN210-04	B	8160	8	160	DCM	20130410	2013	4	10	12	0	0	1.79E+07	7.20E+05	7.25	6.16E+05	7.10E+04	5.79	2.91E+01	21.6807	36.75515	4.9601	-16.99	-29
